31
Time[s],Thrust[lbf]
0,12876.1,
0.373403,103509,
1.01032,104018,
2.49441,109329,
4.54399,116411,
7.79485,128044,
12.2459,146502,
15.6391,156621,
18.2590,155628,
21.5860,156659,
25.1249,158448,
29.3012,159737,
32.1328,160260,
37.7261,159538,
41.2669,157540,
44.5251,154532,
47.6421,150512,
49.5552,147242,
52.8822,148273,
55.1476,148287,
57.9094,146790,
60.9528,148576,
62.7220,150102,
63.9247,151625,
64.5652,145065,
65.6643,70092.2,
66.6060,27180.7,
67.9593,10779.6,
69.5906,4730.96,
72.0701,1464.69,
72.9202,0,
