29
Time[s],Thrust[lbf]
0,210.022,
0.230698,22198.7,
2.69579,24997.7,
5.86542,28846.4,
8.54160,31645.2,
11.3581,34023.7,
16.8494,37590.3,
23.1143,40736.1,
27.8299,42342.6,
31.4896,43459.9,
36.2743,43665.8,
39.8624,43382.5,
43.2389,42469.2,
47.6002,41274.9,
50.5545,40221.9,
52.0317,39800.4,
53.4378,38608.7,
56.1804,36925.6,
58.5707,34682.7,
60.8205,32719.9,
62.9297,30897.3,
65.6013,28514.0,
66.1630,27183.0,
66.7912,21510.2,
67.5588,14296.6,
68.7475,5892.21,
70.0813,2459.66,
71.6278,777.637,
73.3860,0,
